Source Name	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Source	Comment [PubMed ID]
malariaAtlas	MAP.3995		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.3996		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.3997		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.3998		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.3999		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4000		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4001		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4002		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4003		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4004		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4005		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4006		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4007		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4008		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4009		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4010		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
malariaAtlas	MAP.4011		population	OBI	0000181	Alten, B., Caglar, S.S., Simsek, F.M. and Kaynas, S. (2003).  <b>Effect of insecticide-treated bednets for malaria control in Southeast Anatolia-Turkey.</b> <i>Journal of Vector Ecology</i>, <b>28</b>(1):97-107	12831134
